TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,anomaly_score,fraud_flag,ai_explanation
TX000011,AC00150,17.78,14-03-2023 16:46,Credit,Albuquerque,D000205,213.15.9.253,M073,Online,52,Engineer,59,1,7599.52,04-11-2024 08:06,0.15313846326594382,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1531. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000012,AC00459,190.02,06-02-2023 17:30,Debit,Memphis,D000589,116.175.11.222,M030,Online,21,Student,173,1,1528.81,04-11-2024 08:07,0.1652508893381483,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1653. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000013,AC00392,494.52,07-06-2023 17:21,Credit,Mesa,D000032,210.98.198.143,M057,Branch,24,Student,111,1,1620.02,04-11-2024 08:08,0.16867785091590998,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1687. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000014,AC00264,781.76,20-11-2023 16:39,Debit,Memphis,D000054,193.83.0.183,M025,ATM,26,Student,123,1,189.69,04-11-2024 08:07,0.12265785807156215,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1227. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000015,AC00085,166.99,13-02-2023 16:53,Debit,Louisville,D000309,188.124.181.12,M017,Online,18,Student,134,1,299.93,04-11-2024 08:10,0.13629560726936313,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1363. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000016,AC00270,465.45,12-12-2023 16:23,Debit,Denver,D000466,221.169.49.152,M025,ATM,36,Engineer,129,1,3465.54,04-11-2024 08:12,0.15581231996061184,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1558. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000017,AC00317,555.8,30-10-2023 16:52,Credit,Austin,D000671,53.218.177.171,M048,Branch,19,Student,158,1,1131.26,04-11-2024 08:07,0.14163078484962488,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1416. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000018,AC00359,492.93,14-12-2023 18:32,Debit,Columbus,D000432,114.223.129.47,M059,Online,39,Engineer,234,1,5109.97,04-11-2024 08:11,0.12031694553995398,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1203. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000019,AC00242,18.68,21-02-2023 16:56,Credit,Albuquerque,D000530,93.218.115.132,M054,Branch,59,Retired,106,1,7948.37,04-11-2024 08:12,0.16139594035588928,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1614. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000020,AC00285,71.48,08-06-2023 18:18,Credit,Columbus,D000039,120.170.93.69,M039,Online,18,Student,169,1,6568.59,04-11-2024 08:09,0.11647637661063265,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1165. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000021,AC00002,59.32,28-02-2023 16:36,Debit,Los Angeles,D000152,116.44.12.250,M040,Branch,71,Retired,38,1,5750.89,04-11-2024 08:09,0.12578772219867973,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1258. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000022,AC00014,85.77,11-08-2023 18:31,Debit,Las Vegas,D000268,59.132.247.252,M065,Branch,38,Doctor,93,1,9146.19,04-11-2024 08:08,0.16409577521067964,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1641. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000023,AC00095,52.2,06-06-2023 18:54,Debit,Atlanta,D000142,133.63.96.21,M022,Online,39,Engineer,120,1,8974.93,04-11-2024 08:07,0.16103790949912428,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1610. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000024,AC00453,345.84,02-05-2023 18:25,Debit,Fort Worth,D000162,191.82.103.198,M083,Online,22,Student,142,3,1402.5,04-11-2024 08:07,0.018840738495744747,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.0188. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000025,AC00241,145.54,02-03-2023 16:43,Debit,Raleigh,D000036,119.186.154.104,M028,Online,21,Student,96,1,1930.96,04-11-2024 08:07,0.17016764535300094,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1702. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000026,AC00041,7.49,20-10-2023 17:53,Credit,Houston,D000671,81.248.235.147,M043,Online,65,Retired,276,1,3634.67,04-11-2024 08:09,0.062239355884791125,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.0622. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000027,AC00441,246.93,17-04-2023 16:37,Debit,Miami,D000046,55.154.161.250,M029,ATM,23,Student,158,5,673.35,04-11-2024 08:11,-0.04777418211820228,-1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: -0.0478. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000028,AC00057,40.32,29-03-2023 16:42,Debit,Milwaukee,D000310,21.28.32.1,M008,Branch,37,Engineer,95,1,2686.52,04-11-2024 08:11,0.16232602255379774,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1623. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000029,AC00390,127.45,24-01-2023 16:18,Debit,Las Vegas,D000232,152.234.65.155,M092,Online,44,Doctor,197,1,1772.06,04-11-2024 08:11,0.14865555092967375,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1487. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000030,AC00313,56.17,20-09-2023 16:55,Debit,Detroit,D000297,33.28.138.82,M043,Branch,27,Student,283,1,1351.69,04-11-2024 08:08,0.09076594822310924,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.0908. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000031,AC00367,28.31,17-07-2023 17:49,Credit,Miami,D000587,35.67.21.23,M091,Online,59,Doctor,20,1,8334.47,04-11-2024 08:09,0.11977869419213161,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1198. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000032,AC00291,59.12,06-02-2023 16:24,Debit,Baltimore,D000282,187.199.178.27,M053,ATM,29,Doctor,257,1,9823.64,04-11-2024 08:06,0.09071352851450448,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.0907. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000033,AC00060,396.45,25-09-2023 16:26,Debit,New York,D000621,133.67.250.163,M007,ATM,49,Engineer,168,3,9690.15,04-11-2024 08:11,-0.001009079017663117,-1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: -0.0010. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000034,AC00359,877.81,13-03-2023 17:23,Debit,Los Angeles,D000111,134.140.85.231,M094,Online,22,Student,150,1,399.0,04-11-2024 08:07,0.09552687113346175,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.0955. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000035,AC00365,255.26,27-10-2023 16:42,Credit,San Francisco,D000357,92.214.76.157,M002,Branch,45,Doctor,50,1,14815.87,04-11-2024 08:10,0.06643828598850277,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.0664. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000036,AC00267,124.76,16-10-2023 16:32,Debit,Seattle,D000042,59.145.242.13,M002,Branch,49,Engineer,45,1,5764.72,04-11-2024 08:06,0.16378053533708176,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1638. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000037,AC00404,78.13,21-11-2023 16:58,Debit,Milwaukee,D000250,33.28.138.82,M028,Branch,26,Student,145,1,900.61,04-11-2024 08:12,0.17624116130569212,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1762. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000038,AC00202,649.28,02-03-2023 17:53,Debit,San Jose,D000448,73.108.76.238,M074,ATM,75,Retired,137,1,4875.86,04-11-2024 08:11,0.09048765537222553,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.0905. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000039,AC00478,795.31,12-10-2023 17:07,Debit,Mesa,D000077,49.29.37.185,M048,ATM,66,Doctor,90,2,7914.88,04-11-2024 08:11,0.019433459084847393,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.0194. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000040,AC00405,335.63,24-01-2023 17:17,Debit,Oklahoma City,D000038,49.20.211.229,M040,Online,55,Retired,216,1,1019.39,04-11-2024 08:07,0.13605014066440174,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1361. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000041,AC00421,328.47,31-07-2023 18:39,Debit,San Antonio,D000557,6.234.101.35,M014,ATM,63,Retired,119,1,4323.66,04-11-2024 08:07,0.16825362900443458,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1683. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000042,AC00480,34.02,09-01-2023 16:13,Debit,Philadelphia,D000627,109.105.179.186,M046,Online,38,Doctor,19,1,14214.48,04-11-2024 08:11,0.04550580528820858,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.0455. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000043,AC00120,241.42,20-04-2023 18:57,Credit,Charlotte,D000198,60.89.202.192,M044,Online,57,Doctor,116,1,13357.02,04-11-2024 08:09,0.10978868295078392,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1098. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000044,AC00117,55.32,12-04-2023 16:03,Debit,Tucson,D000197,173.135.78.201,M009,ATM,19,Student,117,1,241.79,04-11-2024 08:08,0.13467928177091149,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1347. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000045,AC00011,304.31,26-07-2023 16:52,Debit,Louisville,D000685,77.208.193.198,M005,Branch,27,Student,33,1,868.61,04-11-2024 08:09,0.16111793187171564,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1611. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000046,AC00401,435.27,04-10-2023 17:49,Debit,Chicago,D000297,197.162.55.147,M051,Branch,74,Retired,90,1,4673.28,04-11-2024 08:11,0.126492313510645,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1265. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000047,AC00282,164.49,13-12-2023 16:01,Debit,Baltimore,D000103,113.115.81.178,M070,Branch,26,Student,75,1,1509.27,04-11-2024 08:10,0.18238700900455035,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1824. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000048,AC00439,510.24,09-10-2023 16:29,Debit,Oklahoma City,D000397,186.135.2.148,M090,Online,19,Student,105,1,781.7,04-11-2024 08:11,0.15157229651226245,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1516. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000049,AC00296,626.9,27-11-2023 16:45,Debit,Denver,D000284,93.146.251.20,M023,Online,26,Student,138,1,265.51,04-11-2024 08:07,0.13843860786264495,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1384. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000050,AC00471,22.01,27-03-2023 16:45,Credit,Sacramento,D000304,124.6.134.78,M055,Online,41,Engineer,175,1,1335.09,04-11-2024 08:06,0.14362561081456388,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1436. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000051,AC00159,425.34,13-02-2023 16:59,Credit,Kansas City,D000661,139.23.212.102,M040,Online,69,Retired,121,1,3907.54,04-11-2024 08:07,0.13915371408849708,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1392. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000052,AC00482,424.56,21-02-2023 17:45,Debit,Omaha,D000598,179.43.245.131,M015,Online,51,Engineer,264,1,5183.85,04-11-2024 08:09,0.10862996789889695,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1086. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000053,AC00115,85.43,07-06-2023 16:45,Debit,Virginia Beach,D000235,194.174.252.1,M078,Branch,67,Doctor,145,1,14904.9,04-11-2024 08:06,0.050522859161138634,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.0505. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000054,AC00055,169.5,07-09-2023 16:51,Debit,San Diego,D000442,42.219.228.159,M036,Branch,28,Student,142,1,918.88,04-11-2024 08:08,0.1786350881947949,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1786. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000055,AC00419,104.63,29-03-2023 17:47,Debit,Omaha,D000642,186.135.2.148,M095,ATM,62,Retired,90,1,4477.78,04-11-2024 08:10,0.16736087364499413,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1674. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000056,AC00374,316.95,04-08-2023 17:53,Debit,Mesa,D000013,81.102.230.41,M052,Branch,25,Student,83,1,1324.03,04-11-2024 08:09,0.18042166432181223,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1804. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000057,AC00271,60.54,14-12-2023 17:52,Credit,Columbus,D000462,1.198.76.182,M095,Branch,57,Retired,52,1,3534.93,04-11-2024 08:09,0.15949390345270537,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1595. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000058,AC00456,292.56,03-03-2023 17:37,Credit,Dallas,D000311,198.73.211.114,M075,Branch,68,Retired,61,1,4638.37,04-11-2024 08:07,0.14942321211302062,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1494. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000059,AC00143,386.52,09-06-2023 16:18,Debit,Indianapolis,D000145,186.54.68.246,M064,Branch,48,Engineer,28,1,5630.61,04-11-2024 08:07,0.14429766267994437,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1443. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000060,AC00427,112.07,02-10-2023 16:35,Debit,Kansas City,D000089,198.166.198.233,M064,Branch,23,Student,51,1,930.3,04-11-2024 08:11,0.16479394623825805,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1648. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000061,AC00438,568.52,06-10-2023 18:44,Debit,Indianapolis,D000233,27.143.109.203,M094,ATM,46,Engineer,152,1,5499.91,04-11-2024 08:06,0.15968058757933806,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1597. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000062,AC00002,263.99,16-05-2023 16:07,Debit,Dallas,D000285,7.146.35.122,M087,Branch,79,Retired,227,2,4175.02,04-11-2024 08:11,-0.009591099442154194,-1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: -0.0096. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000063,AC00425,349.64,07-11-2023 16:48,Debit,Las Vegas,D000516,9.230.41.239,M097,Online,48,Engineer,226,1,6651.62,04-11-2024 08:08,0.14456993994499717,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1446. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000064,AC00325,601.4,30-05-2023 17:43,Credit,Philadelphia,D000548,125.225.212.244,M001,Branch,56,Engineer,104,1,8458.29,04-11-2024 08:08,0.14562307066975005,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1456. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000065,AC00434,5.77,02-11-2023 16:01,Debit,Charlotte,D000461,155.164.18.235,M071,Online,50,Doctor,124,1,13988.12,04-11-2024 08:11,0.08899241698121718,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.0890. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000066,AC00242,201.33,29-03-2023 17:00,Credit,Nashville,D000098,145.246.171.225,M003,Branch,42,Engineer,186,1,2585.07,04-11-2024 08:11,0.15871398390268282,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1587. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000067,AC00319,298.42,25-04-2023 16:11,Debit,Indianapolis,D000435,92.214.76.157,M005,Branch,56,Retired,225,1,3014.75,04-11-2024 08:10,0.13914887972127093,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1391. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000068,AC00460,521.06,18-04-2023 18:40,Debit,Albuquerque,D000305,131.41.45.13,M063,Branch,25,Student,128,1,1951.42,04-11-2024 08:12,0.16058710081515254,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1606. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000069,AC00461,117.28,09-02-2023 16:34,Credit,Austin,D000128,46.150.175.171,M057,Online,60,Engineer,16,1,3665.77,04-11-2024 08:07,0.12657536791916768,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1266. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000070,AC00395,189.12,13-11-2023 16:42,Credit,Indianapolis,D000684,125.89.163.224,M040,Branch,32,Engineer,103,1,977.01,04-11-2024 08:08,0.17594967498799563,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1759. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000071,AC00217,133.55,18-07-2023 16:12,Debit,Atlanta,D000201,40.226.196.34,M091,ATM,44,Engineer,220,1,3846.28,04-11-2024 08:10,0.15047930407062138,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1505. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000072,AC00053,143.21,13-01-2023 17:00,Debit,Dallas,D000410,65.164.3.100,M066,Online,35,Engineer,135,1,6374.82,04-11-2024 08:09,0.1776111539594571,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1776. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000073,AC00282,24.77,04-07-2023 18:20,Debit,Boston,D000180,9.230.41.239,M070,ATM,62,Retired,55,1,5866.01,04-11-2024 08:12,0.14709061251174876,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1471. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000074,AC00110,233.92,20-10-2023 16:54,Credit,Jacksonville,D000295,152.140.239.181,M046,Online,26,Student,280,1,6537.62,04-11-2024 08:08,0.0819628424241422,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.0820. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000075,AC00265,1212.51,04-10-2023 16:36,Debit,Indianapolis,D000231,193.83.0.183,M036,Branch,20,Student,24,1,605.95,04-11-2024 08:06,0.005772343155416304,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.0058. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000076,AC00239,232.12,28-12-2023 17:31,Debit,Omaha,D000073,156.173.170.140,M066,ATM,37,Engineer,51,1,6689.87,04-11-2024 08:09,0.17057772014688222,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1706. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000077,AC00007,162.63,12-06-2023 17:53,Debit,Kansas City,D000070,60.153.124.80,M060,Online,22,Student,113,1,634.17,04-11-2024 08:08,0.1700297593217323,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1700. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000078,AC00022,91.53,13-03-2023 16:32,Debit,Milwaukee,D000363,94.37.250.128,M095,Branch,44,Doctor,69,1,14676.05,04-11-2024 08:11,0.08788247381769315,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.0879. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000079,AC00464,120.29,18-12-2023 18:46,Debit,Miami,D000561,162.198.218.92,M045,Branch,19,Student,77,1,1362.39,04-11-2024 08:06,0.15641734890107256,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1564. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000080,AC00014,174.25,17-07-2023 18:54,Debit,Seattle,D000375,130.92.201.49,M032,Online,50,Doctor,67,1,10528.34,04-11-2024 08:10,0.1510615526038342,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1511. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000081,AC00406,183.71,19-06-2023 18:22,Debit,Denver,D000488,86.103.2.29,M074,ATM,38,Engineer,102,1,552.52,04-11-2024 08:09,0.16517827730061985,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1652. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000082,AC00445,345.39,23-10-2023 17:13,Credit,Phoenix,D000097,131.41.45.13,M081,Online,58,Engineer,80,1,6451.96,04-11-2024 08:08,0.18101137001664402,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1810. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000083,AC00236,922.55,23-01-2023 16:32,Debit,Detroit,D000206,21.97.154.92,M004,ATM,63,Retired,87,1,4715.84,04-11-2024 08:11,0.09593890796284221,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.0959. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000084,AC00220,259.91,06-11-2023 16:34,Debit,Denver,D000616,36.13.239.172,M028,Online,49,Doctor,170,1,7176.86,04-11-2024 08:09,0.16744320165826032,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1674. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
TX000085,AC00140,154.71,03-07-2023 16:40,Debit,San Diego,D000494,167.104.180.235,M030,Online,34,Doctor,157,1,1523.72,04-11-2024 08:09,0.17454825936091733,1,"This transaction was flagged due to a significant deviation from normal behavior. Anomaly Score: 0.1745. The pattern suggests unusual transaction amount, timing, or frequency compared to typical user activity."
